Serial_No,Order_ID,Order_Date,Region,Customer_ID,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
1,ORD00001,16-06-2025,West,,Home Office,Office Supplies,Desk,7,199,0.05,1323.35,390.47
2,ORD00002,01-02-2025,West,,Home Office,Electronics,Headphones,7,199,0.05,1323.35,365.32
3,ORD00003,08-04-2025,South,CUST2966,Consumer,Electronics,Phone,4,199,0,796,231.16
4,ORD00004,05-09-2024,West,,Home Office,Furniture,Headphones,9,199,0.1,1611.9,419.5
5,ORD00005,06-07-2025,East,,Consumer,Furniture,Desk,3,299,0.05,852.15,92.84
6,ORD00006,23-08-2025,South,CUST2877,Consumer,Electronics,Laptop,1,99,0.1,89.1,18.42
7,ORD00007,31-12-2025,East,,Consumer,Furniture,Printer,3,299,0.15,762.45,182.9
8,ORD00008,31-05-2024,South,CUST2589,Corporate,Electronics,Monitor,8,149,0.1,1072.8,208.01
9,ORD00009,24-02-2024,North,,Corporate,Office Supplies,Monitor,1,149,,149,8.58
10,ORD00010,03-09-2024,north,,Corporate,Electronics,Tablet,1,799,0.15,679.15,130.71
11,ORD00011,06-02-2025,WEST,CUST2853,Corporate,Office Supplies,Monitor,1,799,0.1,719.1,116.94
12,ORD00012,29-08-2024,South,,Corporate,Electronics,Desk,5,499,0.15,2120.75,342.18
13,ORD00013,01-03-2024,West,,Home Office,Office Supplies,Chair,3,149,0,447,64.62
14,ORD00014,10-04-2024,West,,Home Office,Office Supplies,Headphones,10,199,,1990,311.71
15,ORD00015,18-03-2025,WEST,CUST1442,Corporate,Electronics,Tablet,3,299,0.1,807.3,237.54
16,ORD00016,13-08-2024,north,,Corporate,Furniture,Chair,1,799,0,799,223.1
17,ORD00017,11-07-2025,North,CUST2856,Home Office,Office Supplies,Tablet,10,499,0.1,4491,852.35
18,ORD00018,23-09-2025,East,CUST1389,Home Office,Electronics,Phone,4,999,0.1,3596.4,1023.44
19,ORD00019,17-04-2025,South,CUST1369,Home Office,Office Supplies,Laptop,4,99,0.1,356.4,87.28
20,ORD00020,18-03-2024,South,,Consumer,Furniture,Printer,10,199,0.05,1890.5,423.86
21,ORD00021,10-03-2025,West,,Home Office,Electronics,Desk,8,149,0.15,1013.2,73.05
22,ORD00022,16-07-2024,North,CUST1445,Corporate,Electronics,Desk,3,199,0.15,507.45,26.43
